epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7185.15,1.51003,2.14285,1.62167,0.5192,0.4615,0.46353,0.28889,1.38664,1.90745,1.5225,0.0005941,0.0005941,0.0005941
43,7353.02,1.52201,2.1444,1.62604,0.53354,0.48203,0.47721,0.29105,1.44369,1.94226,1.53736,0.0005842,0.0005842,0.0005842
44,7520.94,1.50789,2.11686,1.61757,0.51308,0.49306,0.4734,0.30319,1.37958,1.84647,1.5123,0.0005743,0.0005743,0.0005743
45,7689.38,1.49777,2.10941,1.61019,0.51676,0.4843,0.47081,0.29562,1.3776,1.93627,1.50962,0.0005644,0.0005644,0.0005644
46,7857.34,1.49741,2.10411,1.61211,0.48336,0.48476,0.4652,0.30058,1.35336,1.9141,1.48967,0.0005545,0.0005545,0.0005545
47,8025.76,1.50034,2.10095,1.61702,0.50467,0.48728,0.48645,0.29699,1.46613,1.85692,1.52294,0.0005446,0.0005446,0.0005446
48,8193.28,1.47529,2.06307,1.58433,0.55831,0.51038,0.52387,0.33085,1.39855,1.77664,1.49102,0.0005347,0.0005347,0.0005347
49,8362.1,1.48957,2.09222,1.60888,0.58275,0.46866,0.5028,0.32497,1.3512,1.80525,1.46456,0.0005248,0.0005248,0.0005248
50,8530.21,1.46778,2.02873,1.58322,0.57072,0.47975,0.49457,0.32311,1.32323,1.77205,1.45199,0.0005149,0.0005149,0.0005149
51,8699.19,1.46795,2.02309,1.59069,0.53562,0.50878,0.51888,0.33316,1.35997,1.7569,1.47373,0.000505,0.000505,0.000505
52,8869.65,1.4623,1.9869,1.581,0.55902,0.48623,0.51761,0.33798,1.32599,1.7378,1.44905,0.0004951,0.0004951,0.0004951
